angle_deg,10000.0,20000.0,40000.0,80000.0,160000.0,360000.0,700000.0,1000000.0,2000000.0,5000000.0,10000000.0
0.0,0.0337,0.0245,0.0175,0.0133,0.0103,0.0079,0.0067,0.0065,0.0064,0.0064,0.0064
1.0,0.0338,0.0247,0.0177,0.0134,0.0104,0.008,0.0068,0.0066,0.0064,0.0064,0.0064
2.0,0.0343,0.0251,0.0181,0.0138,0.0108,0.0084,0.007,0.0068,0.0066,0.0066,0.0066
3.0,0.0351,0.0259,0.0189,0.0145,0.0114,0.0089,0.0075,0.0071,0.0069,0.0068,0.0068
4.0,0.0359,0.027,0.0199,0.0155,0.0124,0.0098,0.0083,0.0078,0.0073,0.0072,0.0071
5.0,0.0351,0.0282,0.0218,0.017,0.014,0.0113,0.0097,0.0091,0.0081,0.0076,0.0074
6.0,0.046,0.046,0.0232,0.0189,0.0152,0.0125,0.0108,0.0101,0.009,0.0081,0.0078
7.0,0.058,0.058,0.058,0.0204,0.017,0.0135,0.0118,0.011,0.0097,0.0086,0.0082
8.0,0.072,0.072,0.072,0.0222,0.0185,0.0153,0.0128,0.0119,0.0105,0.0092,0.0086
9.0,0.086,0.086,0.086,0.06,0.0203,0.0167,0.0144,0.0134,0.0113,0.0098,0.0091
10.0,0.101,0.101,0.101,0.06,0.0188,0.0184,0.0159,0.0147,0.0128,0.0106,0.0097
11.0,0.117,0.117,0.117,0.117,0.076,0.0204,0.0175,0.0162,0.014,0.0118,0.0104
12.0,0.134,0.134,0.134,0.134,0.134,0.0217,0.0195,0.018,0.0155,0.013,0.0116
13.0,0.152,0.152,0.152,0.152,0.152,0.0222,0.0216,0.02,0.0172,0.0143,0.0127
14.0,0.171,0.171,0.171,0.171,0.171,0.106,0.0236,0.0222,0.0191,0.0159,0.0141
15.0,0.19,0.191,0.19,0.19,0.19,0.19,0.117,0.0245,0.0213,0.0177,0.0157
16.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.128,0.0237,0.0198,0.0182
17.0,0.231,0.23,0.231,0.231,0.231,0.231,0.23,0.231,0.138,0.0229,0.021
18.0,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.148,0.0241
19.0,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.161
20.0,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297
21.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
22.0,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
23.0,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369
24.0,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394
25.0,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
26.0,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.445
27.0,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473
30.0,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
35.0,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745
40.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
45.0,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075
50.0,1.215,1.215,1.215,1.215,1.215,1.215,1.215,1.215,1.215,1.215,1.215
55.0,1.345,1.345,1.345,1.345,1.345,1.345,1.345,1.345,1.345,1.345,1.345
60.0,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
65.0,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575
70.0,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665
75.0,1.735,1.735,1.735,1.735,1.735,1.735,1.735,1.735,1.735,1.735,1.735
80.0,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
85.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
90.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
95.0,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
100.0,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
105.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
110.0,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635
115.0,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555
120.0,1.456,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465
125.0,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
130.0,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225
135.0,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085
140.0,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
145.0,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755
150.0,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575
155.0,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
160.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
165.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
170.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
175.0,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
180.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
